"timestamp","coder_id","paper_id","entry_id"
2020-04-01 15:48:12,"A_Herzberger",292,"4"
2020-04-01 15:47:12,"A_Herzberger",292,"3"
2020-04-01 15:46:35,"A_Herzberger",292,"2"
2020-04-01 15:45:49,"A_Herzberger",292,"1"
2020-04-17 10:03:03,"A_Herzberger",510,"2"
2020-04-17 10:00:18,"A_Herzberger",510,"1"
2020-04-21 11:12:51,"A_Herzberger",518,"4"
2020-04-21 11:14:10,"A_Herzberger",518,"3"
2020-04-21 11:11:17,"A_Herzberger",518,"1"
2020-03-26 15:16:24,"A_Herzberger",1270,"3"
2020-03-26 15:15:00,"A_Herzberger",1270,"2"
2020-03-26 15:13:11,"A_Herzberger",1270,"1"
2020-05-29 14:01:49,"A_Herzberger",1376,"6"
2020-05-29 13:58:33,"A_Herzberger",1376,"5"
2020-05-29 13:55:34,"A_Herzberger",1376,"4"
2020-05-29 14:02:49,"A_Herzberger",1376,"4"
2020-06-03 14:42:49,"A_Herzberger",1376,"4"
2020-05-29 13:54:10,"A_Herzberger",1376,"3"
2020-05-29 13:52:40,"A_Herzberger",1376,"2"
2020-05-29 13:51:22,"A_Herzberger",1376,"1"
2020-03-17 12:53:39,"A_Herzberger",1488,"1"
2020-03-17 12:54:06,"A_Herzberger",1488,"1"
2020-03-17 12:55:52,"A_Herzberger",1488,"1"
2020-04-21 15:37:23,"A_Herzberger",1565,"2"
2020-04-21 15:36:44,"A_Herzberger",1565,"1"
2020-04-14 11:22:23,"A_Herzberger",1616,"4"
2020-04-14 11:20:35,"A_Herzberger",1616,"3"
2020-04-14 11:19:28,"A_Herzberger",1616,"2"
2020-04-14 11:17:28,"A_Herzberger",1616,"1"
2020-05-28 14:22:29,"A_Herzberger",2201,"2"
2020-05-28 14:19:57,"A_Herzberger",2201,"1"
2020-05-28 14:22:57,"A_Herzberger",2201,"1"
2020-03-31 13:58:24,"A_Herzberger",2253,"1"
2020-04-01 08:57:26,"A_Herzberger",2546,"5"
2020-04-01 08:56:51,"A_Herzberger",2546,"4"
2020-04-01 08:54:48,"A_Herzberger",2546,"3"
2020-04-01 08:52:48,"A_Herzberger",2546,"2"
2020-04-01 08:52:02,"A_Herzberger",2546,"1"
