"","timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
"134","2020-04-05 16:47:22",6502,"Birds","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.00002","Northern Harrier","E_Dean","1"
"135","2020-04-05 16:48:08",6502,"Birds","2","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.001","Ferruginous Hawk","E_Dean","2"
"136","2020-04-05 16:48:51",6502,"Birds","3","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.06","Sharp-tailed Grouse","E_Dean","3"
"137","2020-04-05 16:49:50",6502,"Birds","4","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.07","Upland Sandpiper","E_Dean","4"
"138","2020-04-05 16:50:35",6502,"Birds","5","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.007","Long-billed Curlew","E_Dean","5"
"139","2020-04-05 16:51:10",6502,"Birds","6","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.0009","Short-eared Owl","E_Dean","6"
"140","2020-04-05 16:51:46",6502,"Birds","7","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000003","Horned Lark","E_Dean","7"
"141","2020-04-05 17:10:02",6502,"Birds","8","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000001","Sedge Wren","E_Dean","8"
"142","2020-04-05 17:10:48",6502,"Birds","9","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","","0.000004","Sprague’s Pipit","E_Dean","9"
"143","2020-04-05 17:11:37",6502,"Birds","10","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000007","Vesper Sparrow","E_Dean","10"
"144","2020-04-05 17:12:19",6502,"Birds","11","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.00007","Lark Bunting","E_Dean","11"
"145","2020-04-05 17:13:02",6502,"Birds","12","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.0004","Savannah Sparrow","E_Dean","12"
"146","2020-04-05 17:14:00",6502,"Birds","13","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0","Grasshopper Sparrow","E_Dean","13"
"147","2020-04-05 17:14:43",6502,"Birds","14","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.00002","Baird’s Sparrow","E_Dean","14"
"148","2020-04-05 17:15:43",6502,"Birds","15","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.19","Le Conte’s Sparrow","E_Dean","15"
"149","2020-04-05 17:16:42",6502,"Birds","16","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","TRUE","0.01","McCown’s Longspur","E_Dean","16"
"150","2020-04-05 17:17:26",6502,"Birds","17","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000009","Chestnut-collared Longspur","E_Dean","17"
"151","2020-04-05 17:18:10",6502,"Birds","18","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000002","Bobolink","E_Dean","18"
"152","2020-04-05 17:18:51",6502,"Birds","19","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000001","Eastern Meadowlark","E_Dean","19"
"153","2020-04-05 17:19:27",6502,"Birds","20","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000009","Western Meadowlark","E_Dean","20"
"154","2020-04-05 17:20:06",6502,"Birds","22","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,NA,"Annual","Negative (detrimental)","TRUE","0","All birds","E_Dean","22"
