"timestamp","coder_id","paper_id"
2020-03-26 15:16:28,"A_Herzberger","1270"
2020-06-03 14:42:54,"A_Herzberger","1376"
2020-03-17 12:56:14,"A_Herzberger","1488"
2020-04-21 15:38:14,"A_Herzberger","1565"
2020-04-14 11:23:16,"A_Herzberger","1616"
2020-05-28 16:25:24,"A_Herzberger","2201"
2020-03-31 13:59:02,"A_Herzberger","2253"
2020-04-01 15:23:55,"A_Herzberger","2546"
2020-03-26 15:38:30,"A_Herzberger","2577"
2020-04-01 15:48:23,"A_Herzberger","292"
2020-05-29 12:33:06,"A_Herzberger","3243"
2020-03-18 09:33:52,"A_Herzberger","3456"
2020-06-03 15:02:49,"A_Herzberger","4060"
2020-03-18 15:23:17,"A_Herzberger","4087"
2020-06-15 13:56:37,"A_Herzberger","4518"
2020-04-17 10:03:12,"A_Herzberger","510"
2020-04-21 11:14:13,"A_Herzberger","518"
2020-04-10 16:05:37,"A_Herzberger","5477"
2020-03-19 10:43:14,"A_Herzberger","5486"
2020-06-09 14:31:59,"A_Herzberger","5577"
2020-03-26 16:18:22,"A_Herzberger","5875"
2020-03-20 10:27:11,"A_Herzberger","5905"
2020-03-31 15:41:36,"A_Herzberger","6331"
2020-03-17 11:00:30,"A_Herzberger","6655"
2020-05-24 16:01:18,"A_Torres","1366"
2020-03-30 20:16:48,"A_Torres","1488"
2020-03-31 12:30:45,"A_Torres","1551"
2020-03-31 14:10:33,"A_Torres","1590"
2020-03-31 14:43:07,"A_Torres","1821"
2020-04-16 18:24:13,"A_Torres","2670"
2020-04-02 14:02:03,"A_Torres","3456"
2020-03-18 20:15:05,"A_Torres","357"
2020-04-02 14:36:48,"A_Torres","3924"
2020-04-29 16:32:41,"A_Torres","6254"
2020-04-28 18:33:52,"C_Hovis","134"
2020-04-27 15:48:18,"C_Hovis","1349"
2020-03-18 14:46:55,"C_Hovis","1488"
2020-04-27 13:31:07,"C_Hovis","3112"
2020-04-27 12:29:16,"C_Hovis","3335"
2020-03-20 09:47:05,"C_Hovis","3456"
2020-04-27 17:45:05,"C_Hovis","3484"
2020-03-31 14:57:08,"C_Hovis","3924"
2020-04-29 17:30:20,"C_Hovis","4063"
2020-04-30 13:01:49,"C_Hovis","4760"
2020-04-27 16:08:59,"C_Hovis","4850"
2020-04-30 12:40:57,"C_Hovis","5756"
2020-04-21 11:50:35,"C_Hovis","6511"
2020-03-30 18:56:07,"C_Hovis","6655"
2020-04-29 13:19:36,"C_Hovis","84"
2020-04-07 14:05:54,"E_Dean","17"
2020-03-19 10:05:49,"E_Dean","2704"
2020-04-05 07:52:42,"E_Dean","2998"
2020-04-05 08:19:19,"E_Dean","3122"
2020-04-14 12:03:22,"E_Dean","339"
2020-03-15 14:03:17,"E_Dean","3456"
2020-04-05 16:30:29,"E_Dean","3868"
2020-03-15 12:25:39,"E_Dean","3924"
2020-05-15 14:32:41,"E_Dean","5844"
2020-04-05 17:20:38,"E_Dean","6502"
2020-03-14 15:18:42,"E_Dean","6655"
2020-03-19 16:41:00,"E_Xing","1040"
2020-05-14 23:43:00,"E_Xing","1488"
2020-04-15 21:55:00,"E_Xing","3456"
2020-04-16 01:17:00,"E_Xing","3485"
2020-05-14 15:58:00,"E_Xing","3583"
2020-04-16 02:12:00,"E_Xing","3668"
2020-03-19 13:14:00,"E_Xing","44"
2020-05-11 02:21:00,"E_Xing","4574"
2020-05-11 20:24:00,"E_Xing","5175"
2020-05-11 23:37:00,"E_Xing","5804"
2020-05-13 00:05:00,"E_Xing","6321"
2020-05-14 00:28:00,"E_Xing","6655"
2020-03-18 20:34:58,"K_Kapsar","1488"
2020-04-15 15:35:52,"K_Kapsar","1743"
2020-04-16 15:23:46,"K_Kapsar","2642"
2020-03-17 14:38:31,"K_Kapsar","3456"
2020-04-28 10:35:56,"K_Kapsar","3511"
2020-04-28 11:20:44,"K_Kapsar","3772"
2020-03-17 12:31:37,"K_Kapsar","3924"
2020-04-28 13:20:02,"K_Kapsar","3989"
2020-05-28 14:58:08,"K_Kapsar","4509"
2020-04-29 13:55:51,"K_Kapsar","4552"
2020-04-30 19:01:01,"K_Kapsar","4831"
2020-04-30 16:38:13,"K_Kapsar","5773"
2020-04-30 17:00:31,"K_Kapsar","5782"
2020-05-28 17:01:26,"K_Kapsar","5926"
2020-03-17 11:53:09,"K_Kapsar","6655"
2020-03-19 13:17:53,"M_Lei","1488"
2020-04-30 20:36:23,"M_Lei","1681"
2020-04-30 16:48:02,"M_Lei","2050"
2020-04-30 17:29:58,"M_Lei","2284"
2020-03-19 11:13:01,"M_Lei","2577"
2020-03-20 00:22:50,"M_Lei","3151"
2020-05-25 23:39:29,"M_Lei","3247"
2020-03-19 12:23:33,"M_Lei","3456"
2020-04-28 16:37:45,"M_Lei","379"
2020-03-19 11:48:17,"M_Lei","3924"
2020-04-30 17:13:50,"M_Lei","396"
2020-04-30 22:49:42,"M_Lei","471"
2020-04-30 21:27:15,"M_Lei","4832"
