paper_id,timestamp,taxa,entry_id,taxon_or_func,biodiv_cat_1sp,biodiv_cat_multsp,biodiv_cat_habitat,scale,biodiv_temp_res,effect,significant,p_value,notes,coder_id,entry,final_decision
1488,3/30/2020 20:31,Birds,4,Taxonomic,NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),Not evaluated,,Species abundance,all,4,accept
1488,3/30/2020 20:17,Birds,1,Taxonomic,,Richness (number of species),,Alpha (w/in site),Seasonal,Negative (detrimental),Not evaluated,,Habitat type,all,1,accept
1488,3/30/2020 20:19,Birds,2,Taxonomic,NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),Not evaluated,,Habitat type,all,2,accept
1488,3/30/2020 20:19,Birds,3,Taxonomic,,Richness (number of species),,Alpha (w/in site),Seasonal,Unclear,Not evaluated,,Distance to oil palm plantation,all,3,accept
1488,3/30/2020 20:20,Birds,4,Taxonomic,,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),Not evaluated,,Distance to oil palm plantation,all,4,accept
1488,3/30/2020 20:21,Birds,5,Taxonomic,,Composition (what species?),,,Seasonal,Changed (e.g. species composition),Not evaluated,,Distance to oil palm plantation,all,5,accept
1488,3/30/2020 20:22,Birds,6,Functional,,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),TRUE,0.001,Habitat type,all,6,accept
1488,3/30/2020 20:22,Birds,7,Functional,,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),TRUE,0.02,,all,7,accept
1488,3/30/2020 20:23,Birds,8,Functional,,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),TRUE,0.002,Habitat type,all,8,accept
1488,3/30/2020 20:23,Birds,9,Functional,,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Positive (beneficial),FALSE,,Habitat type,all,9,accept
1488,3/30/2020 20:24,Birds,10,Functional,,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),TRUE,0.001,Habitat type,all,10,accept
1488,3/30/2020 20:26,Birds,11,Functional,,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",,,Seasonal,Negative (detrimental),FALSE,,Abundance of frugivores,all,11,accept
